"Statistic Label","Month","Type of Loan","UNIT","VALUE"
"Outstanding amount of loans and securitisations","2010M01","Loans to households, including securitisations","Euro Million","177378"
"Outstanding amount of loans and securitisations","2010M01","Loans to non-financial corporations, including securitisations","Euro Million","147875.1"
"Outstanding amount of loans and securitisations","2010M02","Loans to households, including securitisations","Euro Million","176621"
"Outstanding amount of loans and securitisations","2010M02","Loans to non-financial corporations, including securitisations","Euro Million","146258.3"
"Outstanding amount of loans and securitisations","2010M03","Loans to households, including securitisations","Euro Million","174679"
"Outstanding amount of loans and securitisations","2010M03","Loans to non-financial corporations, including securitisations","Euro Million","144515.5"
"Outstanding amount of loans and securitisations","2010M04","Loans to households, including securitisations","Euro Million","174173"
"Outstanding amount of loans and securitisations","2010M04","Loans to non-financial corporations, including securitisations","Euro Million","138650.2"
"Outstanding amount of loans and securitisations","2010M05","Loans to households, including securitisations","Euro Million","173533"
"Outstanding amount of loans and securitisations","2010M05","Loans to non-financial corporations, including securitisations","Euro Million","133104.9"
"Outstanding amount of loans and securitisations","2010M06","Loans to households, including securitisations","Euro Million","177572"
"Outstanding amount of loans and securitisations","2010M06","Loans to non-financial corporations, including securitisations","Euro Million","123690.9"
"Outstanding amount of loans and securitisations","2010M07","Loans to households, including securitisations","Euro Million","176558"
"Outstanding amount of loans and securitisations","2010M07","Loans to non-financial corporations, including securitisations","Euro Million","117451.9"
"Outstanding amount of loans and securitisations","2010M08","Loans to households, including securitisations","Euro Million","176032"
"Outstanding amount of loans and securitisations","2010M08","Loans to non-financial corporations, including securitisations","Euro Million","113693.3"
"Outstanding amount of loans and securitisations","2010M09","Loans to households, including securitisations","Euro Million","175377"
"Outstanding amount of loans and securitisations","2010M09","Loans to non-financial corporations, including securitisations","Euro Million","109086.4"
"Outstanding amount of loans and securitisations","2010M10","Loans to households, including securitisations","Euro Million","174351"
"Outstanding amount of loans and securitisations","2010M10","Loans to non-financial corporations, including securitisations","Euro Million","105293.4"
"Outstanding amount of loans and securitisations","2010M11","Loans to households, including securitisations","Euro Million","173676"
"Outstanding amount of loans and securitisations","2010M11","Loans to non-financial corporations, including securitisations","Euro Million","95880.5"
"Outstanding amount of loans and securitisations","2010M12","Loans to households, including securitisations","Euro Million","166374"
"Outstanding amount of loans and securitisations","2010M12","Loans to non-financial corporations, including securitisations","Euro Million","94569.6"
"Outstanding amount of loans and securitisations","2011M01","Loans to households, including securitisations","Euro Million","165598"
"Outstanding amount of loans and securitisations","2011M01","Loans to non-financial corporations, including securitisations","Euro Million","94153.2"
"Outstanding amount of loans and securitisations","2011M02","Loans to households, including securitisations","Euro Million","167144"
"Outstanding amount of loans and securitisations","2011M02","Loans to non-financial corporations, including securitisations","Euro Million","92123.2"
"Outstanding amount of loans and securitisations","2011M03","Loans to households, including securitisations","Euro Million","166465"
"Outstanding amount of loans and securitisations","2011M03","Loans to non-financial corporations, including securitisations","Euro Million","91035.4"
"Outstanding amount of loans and securitisations","2011M04","Loans to households, including securitisations","Euro Million","165744"
"Outstanding amount of loans and securitisations","2011M04","Loans to non-financial corporations, including securitisations","Euro Million","90042.3"
"Outstanding amount of loans and securitisations","2011M05","Loans to households, including securitisations","Euro Million","165215"
"Outstanding amount of loans and securitisations","2011M05","Loans to non-financial corporations, including securitisations","Euro Million","90096.6"
"Outstanding amount of loans and securitisations","2011M06","Loans to households, including securitisations","Euro Million","164865"
"Outstanding amount of loans and securitisations","2011M06","Loans to non-financial corporations, including securitisations","Euro Million","90092.6"
"Outstanding amount of loans and securitisations","2011M07","Loans to households, including securitisations","Euro Million","164012"
"Outstanding amount of loans and securitisations","2011M07","Loans to non-financial corporations, including securitisations","Euro Million","90418.2"
"Outstanding amount of loans and securitisations","2011M08","Loans to households, including securitisations","Euro Million","163444"
"Outstanding amount of loans and securitisations","2011M08","Loans to non-financial corporations, including securitisations","Euro Million","89676.1"
"Outstanding amount of loans and securitisations","2011M09","Loans to households, including securitisations","Euro Million","163410"
"Outstanding amount of loans and securitisations","2011M09","Loans to non-financial corporations, including securitisations","Euro Million","90096.7"
"Outstanding amount of loans and securitisations","2011M10","Loans to households, including securitisations","Euro Million","163807"
"Outstanding amount of loans and securitisations","2011M10","Loans to non-financial corporations, including securitisations","Euro Million","88854.1"
"Outstanding amount of loans and securitisations","2011M11","Loans to households, including securitisations","Euro Million","163497"
"Outstanding amount of loans and securitisations","2011M11","Loans to non-financial corporations, including securitisations","Euro Million","89245.2"
"Outstanding amount of loans and securitisations","2011M12","Loans to households, including securitisations","Euro Million","161232"
"Outstanding amount of loans and securitisations","2011M12","Loans to non-financial corporations, including securitisations","Euro Million","89255.9"
"Outstanding amount of loans and securitisations","2012M01","Loans to households, including securitisations","Euro Million","160323"
"Outstanding amount of loans and securitisations","2012M01","Loans to non-financial corporations, including securitisations","Euro Million","88596.1"
"Outstanding amount of loans and securitisations","2012M02","Loans to households, including securitisations","Euro Million","159822"
"Outstanding amount of loans and securitisations","2012M02","Loans to non-financial corporations, including securitisations","Euro Million","88205.1"
"Outstanding amount of loans and securitisations","2012M03","Loans to households, including securitisations","Euro Million","159389"
"Outstanding amount of loans and securitisations","2012M03","Loans to non-financial corporations, including securitisations","Euro Million","88236.6"
"Outstanding amount of loans and securitisations","2012M04","Loans to households, including securitisations","Euro Million","158092"
"Outstanding amount of loans and securitisations","2012M04","Loans to non-financial corporations, including securitisations","Euro Million","88099.8"
"Outstanding amount of loans and securitisations","2012M05","Loans to households, including securitisations","Euro Million","157670"
"Outstanding amount of loans and securitisations","2012M05","Loans to non-financial corporations, including securitisations","Euro Million","88085"
"Outstanding amount of loans and securitisations","2012M06","Loans to households, including securitisations","Euro Million","157490"
"Outstanding amount of loans and securitisations","2012M06","Loans to non-financial corporations, including securitisations","Euro Million","87355.3"
"Outstanding amount of loans and securitisations","2012M07","Loans to households, including securitisations","Euro Million","156855"
"Outstanding amount of loans and securitisations","2012M07","Loans to non-financial corporations, including securitisations","Euro Million","87217.3"
"Outstanding amount of loans and securitisations","2012M08","Loans to households, including securitisations","Euro Million","156088"
"Outstanding amount of loans and securitisations","2012M08","Loans to non-financial corporations, including securitisations","Euro Million","86794.9"
"Outstanding amount of loans and securitisations","2012M09","Loans to households, including securitisations","Euro Million","155857"
"Outstanding amount of loans and securitisations","2012M09","Loans to non-financial corporations, including securitisations","Euro Million","86338.5"
"Outstanding amount of loans and securitisations","2012M10","Loans to households, including securitisations","Euro Million","155162"
"Outstanding amount of loans and securitisations","2012M10","Loans to non-financial corporations, including securitisations","Euro Million","85798.8"
"Outstanding amount of loans and securitisations","2012M11","Loans to households, including securitisations","Euro Million","154292"
"Outstanding amount of loans and securitisations","2012M11","Loans to non-financial corporations, including securitisations","Euro Million","85540.9"
"Outstanding amount of loans and securitisations","2012M12","Loans to households, including securitisations","Euro Million","153772"
"Outstanding amount of loans and securitisations","2012M12","Loans to non-financial corporations, including securitisations","Euro Million","85050.8"
"Outstanding amount of loans and securitisations","2013M01","Loans to households, including securitisations","Euro Million","152761"
"Outstanding amount of loans and securitisations","2013M01","Loans to non-financial corporations, including securitisations","Euro Million","84376.7"
"Outstanding amount of loans and securitisations","2013M02","Loans to households, including securitisations","Euro Million","151947"
"Outstanding amount of loans and securitisations","2013M02","Loans to non-financial corporations, including securitisations","Euro Million","84336.1"
"Outstanding amount of loans and securitisations","2013M03","Loans to households, including securitisations","Euro Million","152039"
"Outstanding amount of loans and securitisations","2013M03","Loans to non-financial corporations, including securitisations","Euro Million","83877.9"
"Outstanding amount of loans and securitisations","2013M04","Loans to households, including securitisations","Euro Million","151288"
"Outstanding amount of loans and securitisations","2013M04","Loans to non-financial corporations, including securitisations","Euro Million","82840.6"
"Outstanding amount of loans and securitisations","2013M05","Loans to households, including securitisations","Euro Million","150482"
"Outstanding amount of loans and securitisations","2013M05","Loans to non-financial corporations, including securitisations","Euro Million","82351"
"Outstanding amount of loans and securitisations","2013M06","Loans to households, including securitisations","Euro Million","150514"
"Outstanding amount of loans and securitisations","2013M06","Loans to non-financial corporations, including securitisations","Euro Million","82121.8"
"Outstanding amount of loans and securitisations","2013M07","Loans to households, including securitisations","Euro Million","149843"
"Outstanding amount of loans and securitisations","2013M07","Loans to non-financial corporations, including securitisations","Euro Million","81693"
"Outstanding amount of loans and securitisations","2013M08","Loans to households, including securitisations","Euro Million","149329"
"Outstanding amount of loans and securitisations","2013M08","Loans to non-financial corporations, including securitisations","Euro Million","81772"
"Outstanding amount of loans and securitisations","2013M09","Loans to households, including securitisations","Euro Million","149284"
"Outstanding amount of loans and securitisations","2013M09","Loans to non-financial corporations, including securitisations","Euro Million","81793"
"Outstanding amount of loans and securitisations","2013M10","Loans to households, including securitisations","Euro Million","148664"
"Outstanding amount of loans and securitisations","2013M10","Loans to non-financial corporations, including securitisations","Euro Million","81152"
"Outstanding amount of loans and securitisations","2013M11","Loans to households, including securitisations","Euro Million","148132"
"Outstanding amount of loans and securitisations","2013M11","Loans to non-financial corporations, including securitisations","Euro Million","81009"
"Outstanding amount of loans and securitisations","2013M12","Loans to households, including securitisations","Euro Million","147809"
"Outstanding amount of loans and securitisations","2013M12","Loans to non-financial corporations, including securitisations","Euro Million","79526"
"Outstanding amount of loans and securitisations","2014M01","Loans to households, including securitisations","Euro Million","146869"
"Outstanding amount of loans and securitisations","2014M01","Loans to non-financial corporations, including securitisations","Euro Million","78987"
"Outstanding amount of loans and securitisations","2014M02","Loans to households, including securitisations","Euro Million","146282"
"Outstanding amount of loans and securitisations","2014M02","Loans to non-financial corporations, including securitisations","Euro Million","78481"
"Outstanding amount of loans and securitisations","2014M03","Loans to households, including securitisations","Euro Million","146040"
"Outstanding amount of loans and securitisations","2014M03","Loans to non-financial corporations, including securitisations","Euro Million","76783"
"Outstanding amount of loans and securitisations","2014M04","Loans to households, including securitisations","Euro Million","145445"
"Outstanding amount of loans and securitisations","2014M04","Loans to non-financial corporations, including securitisations","Euro Million","75835"
"Outstanding amount of loans and securitisations","2014M05","Loans to households, including securitisations","Euro Million","144205"
"Outstanding amount of loans and securitisations","2014M05","Loans to non-financial corporations, including securitisations","Euro Million","72662"
"Outstanding amount of loans and securitisations","2014M06","Loans to households, including securitisations","Euro Million","139958"
"Outstanding amount of loans and securitisations","2014M06","Loans to non-financial corporations, including securitisations","Euro Million","69610"
"Outstanding amount of loans and securitisations","2014M07","Loans to households, including securitisations","Euro Million","137981"
"Outstanding amount of loans and securitisations","2014M07","Loans to non-financial corporations, including securitisations","Euro Million","62979"
"Outstanding amount of loans and securitisations","2014M08","Loans to households, including securitisations","Euro Million","137606"
"Outstanding amount of loans and securitisations","2014M08","Loans to non-financial corporations, including securitisations","Euro Million","62630"
"Outstanding amount of loans and securitisations","2014M09","Loans to households, including securitisations","Euro Million","137133"
"Outstanding amount of loans and securitisations","2014M09","Loans to non-financial corporations, including securitisations","Euro Million","61505"
"Outstanding amount of loans and securitisations","2014M10","Loans to households, including securitisations","Euro Million","136403"
"Outstanding amount of loans and securitisations","2014M10","Loans to non-financial corporations, including securitisations","Euro Million","61740"
"Outstanding amount of loans and securitisations","2014M11","Loans to households, including securitisations","Euro Million","135834"
"Outstanding amount of loans and securitisations","2014M11","Loans to non-financial corporations, including securitisations","Euro Million","61923"
"Outstanding amount of loans and securitisations","2014M12","Loans to households, including securitisations","Euro Million","135161"
"Outstanding amount of loans and securitisations","2014M12","Loans to non-financial corporations, including securitisations","Euro Million","60071"
"Outstanding amount of loans and securitisations","2015M01","Loans to households, including securitisations","Euro Million","134723"
"Outstanding amount of loans and securitisations","2015M01","Loans to non-financial corporations, including securitisations","Euro Million","59894"
"Outstanding amount of loans and securitisations","2015M02","Loans to households, including securitisations","Euro Million","132630"
